group,temp_col,Topt,a,b,c,n,rmse,aic
ZC1-EUP,Temp_0to10m,11.959421644929778,0.09474697,0.005965503,0.7510751713071371,14,0.1098200750698432,-53.84953414
ZC2-AMP,Temp_0to10m,17.879087660754646,0.013270931295232153,0.9999999999999999,1.9728472988776866,15,0.16196656469823437,-46.61096067
ZC3-DEC,Temp_0to10m,9.739198261131536,0.079922812,0.003052808,0.2425331385561118,14,0.06941511,-66.69421994
ZC4-CLG,Temp_0to10m,16.802227691379418,0.010386023537148186,0.020502400483998304,1.4924787532597381,15,0.24493988838378689,-34.20227356
ZC5-CSM,Temp_0to10m,18.202824367254127,0.005888824,0.9999999999999861,1.6074516252795872,15,0.16414900182293804,-46.20942148
ZS2-CTH,Temp_0to10m,14.29743521,0.03823608,0.023198215931410502,0.12024761483096329,15,0.012768898164727484,-122.8222869
ZS3-CHA,Temp_0to10m,17.748380557362637,0.009250265,0.9999999999999434,0.8764339004386612,15,0.11212538850716772,-57.64412481
ZS4-LAR,Temp_0to10m,8.517523176282447,0.9999999999981127,0.006228261,0.049891721,14,0.013887561863369553,-111.7493267
